CV1,CV2,free energy (kJ/mol)
-3.0,0.35,inf
-2.94,0.35,inf
-2.88,0.35,inf
-2.82,0.35,inf
-2.76,0.35,74.2243
-2.7,0.35,61.6284
-2.64,0.35,49.4828
-2.58,0.35,40.9231
-2.52,0.35,35.3253
-2.46,0.35,31.7628
-2.4,0.35,28.3477
-2.34,0.35,25.3999
-2.28,0.35,23.7459
-2.22,0.35,23.2447
-2.16,0.35,23.8672
-2.1,0.35,25.3389
-2.04,0.35,26.8542
-1.98,0.35,28.4751
-1.92,0.35,30.6685
-1.86,0.35,32.2238
-1.8,0.35,34.9446
-1.74,0.35,40.4201
-1.68,0.35,46.1706
-1.62,0.35,49.769
-1.56,0.35,56.1863
-1.5,0.35,64.3506
-1.44,0.35,66.9191
-1.38,0.35,60.7618
-1.32,0.35,57.4673
-1.26,0.35,57.7564
-1.2,0.35,61.6263
-1.14,0.35,69.0533
-1.08,0.35,86.1275
-1.02,0.35,107.6246
-0.96,0.35,114.3717
-0.9,0.35,124.5568
-0.84,0.35,inf
-0.78,0.35,inf
-0.72,0.35,inf
-0.66,0.35,inf
-0.6,0.35,inf
-0.54,0.35,inf
-0.48,0.35,inf
-0.42,0.35,inf
-0.36,0.35,inf
-0.3,0.35,inf
-0.24,0.35,inf
-0.18,0.35,inf
-0.12,0.35,inf
-0.06,0.35,inf
-0.0,0.35,inf
0.06,0.35,inf
0.12,0.35,inf
0.18,0.35,inf
0.24,0.35,inf
0.3,0.35,inf
0.36,0.35,inf
0.42,0.35,inf
0.48,0.35,inf
0.54,0.35,inf
0.6,0.35,inf
0.66,0.35,inf
0.72,0.35,inf
0.78,0.35,inf
0.84,0.35,inf
0.9,0.35,inf
0.96,0.35,inf
1.02,0.35,inf
1.08,0.35,inf
1.14,0.35,inf
1.2,0.35,inf
1.26,0.35,inf
1.32,0.35,inf
1.38,0.35,inf
1.44,0.35,inf
1.5,0.35,inf
1.56,0.35,inf
1.62,0.35,inf
1.68,0.35,inf
1.74,0.35,inf
1.8,0.35,inf
1.86,0.35,inf
1.92,0.35,inf
1.98,0.35,inf
2.04,0.35,inf
2.1,0.35,inf
2.16,0.35,inf
2.22,0.35,inf
2.28,0.35,inf
2.34,0.35,inf
2.4,0.35,inf
2.46,0.35,inf
2.52,0.35,inf
2.58,0.35,inf
2.64,0.35,inf
2.7,0.35,inf
2.76,0.35,inf
2.82,0.35,inf
2.88,0.35,inf
2.94,0.35,inf
3.0,0.35,inf
-3.0,0.3665,68.8128
-2.94,0.3665,56.5659
-2.88,0.3665,47.9109
-2.82,0.3665,42.7942
-2.76,0.3665,40.1384
-2.7,0.3665,36.008
-2.64,0.3665,33.217
-2.58,0.3665,31.9157
-2.52,0.3665,28.5189
-2.46,0.3665,24.6279
-2.4,0.3665,21.4923
-2.34,0.3665,19.4869
-2.28,0.3665,18.3444
-2.22,0.3665,17.9849
-2.16,0.3665,18.4089
-2.1,0.3665,19.6214
-2.04,0.3665,21.355
-1.98,0.3665,23.1688
-1.92,0.3665,24.9841
